force_x,force_y,force_z,trans_x,trans_y,trans_z,trans_r_x,trans_r_y,trans_r_z,trans_r_w
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010079,-0.075187,0.000038,0.001913,-0.000159,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010079,-0.075187,0.000038,0.001913,-0.000159,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010079,-0.075187,0.000038,0.001913,-0.000159,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010082,-0.075193,0.000038,0.001928,-0.000151,-0.000471,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010079,-0.075187,0.000038,0.001913,-0.000159,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010082,-0.075184,0.000038,0.001913,-0.000159,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010082,-0.075184,0.000038,0.001913,-0.000159,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010082,-0.075184,0.000038,0.001913,-0.000159,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010072,-0.075187,0.000038,0.001918,-0.000168,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010072,-0.075187,0.000038,0.001918,-0.000168,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010076,-0.075184,0.000038,0.001913,-0.000160,-0.000470,0.999998
0.000000,0.410000,-0.060000,0.010082,-0.075184,0.000038,0.001913,-0.000159,-0.000462,0.999998
0.000000,0.410000,-0.060000,0.010033,-0.075119,0.000041,0.001896,-0.000179,-0.000539,0.999998
0.000000,0.410000,-0.060000,0.009792,-0.074505,0.000016,0.001853,-0.000313,-0.000777,0.999998
0.000000,0.410000,-0.060000,0.009113,-0.071126,0.000159,0.001634,-0.000298,-0.000525,0.999998
0.010000,0.410000,-0.060000,0.008176,-0.063809,0.000433,0.001066,0.000469,0.000288,0.999999
0.010000,0.400000,-0.060000,0.007141,-0.057633,0.000482,0.000769,0.000614,0.000160,1.000000
0.010000,0.400000,-0.060000,0.005344,-0.046074,0.000473,0.000317,0.001451,-0.000811,0.999999
0.010000,0.390000,-0.060000,0.003953,-0.034348,0.000348,0.000616,0.001772,-0.000159,0.999998
0.010000,0.390000,-0.060000,0.003309,-0.030104,0.000298,0.000521,0.001596,-0.000405,0.999999
0.010000,0.380000,-0.060000,0.001934,-0.019112,-0.000050,0.000231,0.001308,-0.000391,0.999999
0.010000,0.370000,-0.050000,0.001460,-0.012901,-0.000261,0.000089,0.001045,0.000493,0.999999
0.010000,0.370000,-0.050000,0.001460,-0.012901,-0.000261,0.000089,0.001045,0.000493,0.999999
0.010000,0.370000,-0.050000,0.000771,-0.006618,-0.000560,0.000261,0.000449,-0.000053,1.000000
0.010000,0.360000,-0.050000,0.000771,-0.006618,-0.000560,0.000261,0.000449,-0.000053,1.000000
0.010000,0.360000,-0.050000,0.000256,-0.003502,-0.000816,0.000398,-0.000103,0.000052,1.000000
0.010000,0.360000,-0.050000,0.000256,-0.003502,-0.000816,0.000398,-0.000103,0.000052,1.000000
