force_x,force_y,force_z,trans_x,trans_y,trans_z,trans_r_x,trans_r_y,trans_r_z,trans_r_w
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075206,-0.000009,0.001992,-0.000038,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075206,-0.000009,0.001992,-0.000038,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010055,-0.075210,-0.000009,0.001999,-0.000033,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075206,-0.000009,0.001992,-0.000038,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075206,-0.000009,0.001992,-0.000038,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075206,-0.000009,0.001992,-0.000038,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075206,-0.000009,0.001992,-0.000038,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075206,-0.000009,0.001992,-0.000038,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075206,-0.000009,0.001992,-0.000038,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075206,-0.000009,0.001992,-0.000038,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075206,-0.000009,0.001992,-0.000038,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075206,-0.000009,0.001992,-0.000038,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075212,-0.000014,0.002000,-0.000038,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075212,-0.000014,0.002000,-0.000038,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010063,-0.075204,-0.000008,0.001983,-0.000022,-0.000491,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075206,-0.000014,0.001991,-0.000023,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075206,-0.000009,0.001992,-0.000038,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000508,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075206,-0.000009,0.001992,-0.000038,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010054,-0.075209,-0.000008,0.001992,-0.000037,-0.000491,0.999998
0.000000,0.420000,-0.060000,0.010054,-0.075209,-0.000008,0.001992,-0.000037,-0.000491,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075206,-0.000009,0.001992,-0.000038,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010052,-0.075206,-0.000009,0.001992,-0.000038,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075201,-0.000009,0.001983,-0.000023,-0.000500,0.999998
