force_x,force_y,force_z,trans_x,trans_y,trans_z,trans_r_x,trans_r_y,trans_r_z,trans_r_w
0.000000,0.420000,-0.060000,0.010064,-0.075195,-0.000013,0.002213,-0.000038,-0.000504,0.999997
0.000000,0.420000,-0.060000,0.010064,-0.075195,-0.000013,0.002213,-0.000038,-0.000504,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010072,-0.075199,-0.000013,0.002221,-0.000032,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010071,-0.075205,-0.000013,0.002225,-0.000039,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010071,-0.075205,-0.000013,0.002225,-0.000039,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010068,-0.075200,-0.000013,0.002218,-0.000043,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010072,-0.075198,-0.000012,0.002213,-0.000036,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010072,-0.075198,-0.000012,0.002213,-0.000036,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010068,-0.075190,-0.000003,0.002208,-0.000040,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010068,-0.075190,-0.000003,0.002208,-0.000040,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010065,-0.075197,-0.000013,0.002218,-0.000044,-0.000495,0.999997
0.000000,0.420000,-0.060000,0.010072,-0.075198,-0.000012,0.002213,-0.000036,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010072,-0.075198,-0.000012,0.002213,-0.000036,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010070,-0.075202,-0.000012,0.002221,-0.000032,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010070,-0.075202,-0.000012,0.002221,-0.000032,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010072,-0.075187,-0.000003,0.002203,-0.000032,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010072,-0.075187,-0.000003,0.002203,-0.000032,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010068,-0.075200,-0.000013,0.002218,-0.000043,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010068,-0.075200,-0.000013,0.002218,-0.000043,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010072,-0.075198,-0.000012,0.002213,-0.000036,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010068,-0.075202,-0.000013,0.002225,-0.000040,-0.000505,0.999997
0.000000,0.420000,-0.060000,0.010068,-0.075202,-0.000013,0.002225,-0.000040,-0.000505,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010072,-0.075199,-0.000013,0.002221,-0.000032,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010072,-0.075199,-0.000013,0.002221,-0.000032,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010072,-0.075198,-0.000012,0.002213,-0.000036,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010072,-0.075198,-0.000012,0.002213,-0.000036,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075191,-0.000003,0.002203,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010070,-0.075191,-0.000003,0.002203,-0.000032,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010070,-0.075191,-0.000003,0.002203,-0.000032,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010072,-0.075186,-0.000003,0.002196,-0.000036,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075138,0.000040,0.002125,-0.000031,-0.000487,0.999998
0.000000,0.420000,-0.060000,0.010075,-0.075138,0.000040,0.002125,-0.000031,-0.000487,0.999998
0.000000,0.420000,-0.060000,0.010072,-0.075199,-0.000013,0.002221,-0.000032,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010067,-0.075199,-0.000013,0.002221,-0.000033,-0.000505,0.999997
0.000000,0.420000,-0.060000,0.010067,-0.075199,-0.000013,0.002221,-0.000033,-0.000505,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075202,-0.000013,0.002221,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010075,-0.075191,-0.000003,0.002203,-0.000031,-0.000487,0.999997
0.000000,0.420000,-0.060000,0.010071,-0.075193,-0.000003,0.002208,-0.000039,-0.000496,0.999997
0.000000,0.420000,-0.060000,0.010067,-0.075199,-0.000013,0.002221,-0.000033,-0.000505,0.999997
0.000000,0.420000,-0.060000,0.010047,-0.075151,0.000003,0.002186,-0.000042,-0.000478,0.999997
0.000000,0.420000,-0.060000,0.009770,-0.074459,-0.000023,0.002090,-0.000217,-0.000258,0.999998
0.000000,0.420000,-0.060000,0.009095,-0.070736,0.000138,0.001699,-0.000115,-0.000499,0.999998
0.000000,0.420000,-0.060000,0.008010,-0.063245,0.000404,0.001194,0.000479,0.000169,0.999999
0.000000,0.410000,-0.060000,0.007008,-0.057034,0.000472,0.001073,0.000688,0.000245,0.999999
0.010000,0.400000,-0.060000,0.005179,-0.045906,0.000369,0.001003,0.001351,-0.000616,0.999998
0.040000,0.380000,-0.040000,0.004391,-0.038176,0.000210,0.001497,0.001847,-0.000520,0.999997
0.120000,0.360000,0.000000,0.003269,-0.029148,0.000394,0.000078,0.001671,-0.000447,0.999999
0.140000,0.350000,0.000000,0.001958,-0.018549,-0.000083,0.000020,0.001462,-0.000457,0.999999
0.070000,0.360000,-0.030000,0.001470,-0.013012,-0.000163,-0.000320,0.001060,0.000221,0.999999
0.010000,0.370000,-0.050000,0.001453,-0.012834,-0.000213,-0.000209,0.001042,0.000353,0.999999
0.010000,0.370000,-0.050000,0.000766,-0.006532,-0.000605,0.000350,0.000465,-0.000051,1.000000
0.010000,0.370000,-0.050000,0.000766,-0.006532,-0.000605,0.000350,0.000465,-0.000051,1.000000
0.010000,0.370000,-0.050000,0.000241,-0.003412,-0.000828,0.000364,-0.000103,0.000029,1.000000
0.010000,0.370000,-0.050000,-0.000107,-0.001889,-0.001045,0.000504,-0.000384,-0.000446,1.000000
0.010000,0.370000,-0.050000,-0.000107,-0.001889,-0.001045,0.000504,-0.000384,-0.000446,1.000000
0.010000,0.370000,-0.050000,-0.000312,-0.001200,-0.001128,0.000562,-0.000492,-0.000972,0.999999
0.010000,0.370000,-0.050000,-0.000312,-0.001200,-0.001128,0.000562,-0.000492,-0.000972,0.999999
0.010000,0.370000,-0.050000,-0.000286,-0.000944,-0.001142,0.000638,-0.000419,-0.000990,0.999999
0.010000,0.370000,-0.050000,-0.000180,-0.000866,-0.001113,0.000655,-0.000278,-0.000960,0.999999
0.010000,0.370000,-0.050000,-0.000180,-0.000866,-0.001113,0.000655,-0.000278,-0.000960,0.999999
0.010000,0.370000,-0.050000,-0.000027,-0.000833,-0.001080,0.000701,-0.000094,-0.000758,0.999999
0.010000,0.370000,-0.050000,0.000026,-0.000700,-0.001043,0.000611,-0.000080,-0.000646,1.000000
0.010000,0.370000,-0.050000,0.000074,-0.000833,-0.001047,0.000688,-0.000037,-0.000642,1.000000
0.010000,0.370000,-0.050000,0.000564,-0.002297,-0.000998,0.001073,0.000383,-0.000540,0.999999
0.010000,0.370000,-0.050000,0.000821,-0.004662,-0.000963,0.001847,0.000541,-0.000905,0.999998
0.010000,0.380000,-0.050000,0.001234,-0.008304,-0.000771,0.001168,0.000427,-0.001089,0.999999
0.010000,0.390000,-0.050000,0.002496,-0.018968,-0.000732,0.001353,0.000491,-0.001027,0.999998
0.010000,0.400000,-0.050000,0.003049,-0.023629,-0.000549,0.001320,0.000413,-0.001012,0.999999
0.010000,0.410000,-0.050000,0.004224,-0.033815,-0.000427,0.001494,0.000438,-0.001362,0.999998
0.010000,0.420000,-0.050000,0.005512,-0.046185,-0.000264,0.001252,0.000018,-0.001958,0.999997
0.000000,0.420000,-0.040000,0.006633,-0.054714,-0.000094,0.000917,-0.000201,-0.000924,0.999999
0.000000,0.430000,-0.040000,0.007686,-0.062760,-0.000054,0.000734,-0.000285,-0.001379,0.999999
0.000000,0.430000,-0.050000,0.008057,-0.065153,-0.000053,0.000500,-0.000365,-0.001623,0.999998
0.000000,0.430000,-0.060000,0.008928,-0.069266,-0.000035,0.000411,-0.000206,-0.001117,0.999999
0.000000,0.430000,-0.060000,0.009708,-0.071788,0.000058,0.000487,0.000151,-0.000633,1.000000
0.000000,0.430000,-0.060000,0.009891,-0.072637,0.000135,0.000503,0.000287,-0.000519,1.000000
0.000000,0.430000,-0.060000,0.010135,-0.073625,0.000199,0.000602,0.000410,-0.000748,0.999999
0.000000,0.430000,-0.060000,0.010289,-0.074078,0.000198,0.000664,0.000401,-0.000698,0.999999
0.000000,0.430000,-0.060000,0.010417,-0.074433,0.000192,0.000751,0.000380,-0.000404,1.000000
0.000000,0.430000,-0.060000,0.010456,-0.074687,0.000186,0.000812,0.000293,-0.000228,1.000000
0.000000,0.430000,-0.060000,0.010436,-0.074772,0.000177,0.000806,0.000230,-0.000120,1.000000
0.000000,0.430000,-0.060000,0.010322,-0.074846,0.000130,0.000847,0.000087,-0.000191,1.000000
0.000000,0.430000,-0.060000,0.010238,-0.074868,0.000114,0.000839,-0.000011,-0.000272,1.000000
0.000000,0.430000,-0.060000,0.010172,-0.074936,0.000056,0.000884,-0.000082,-0.000319,1.000000
0.000000,0.430000,-0.060000,0.010150,-0.074949,0.000053,0.000882,-0.000098,-0.000352,1.000000
0.000000,0.430000,-0.060000,0.010150,-0.074949,0.000053,0.000882,-0.000098,-0.000352,1.000000
0.000000,0.430000,-0.060000,0.010080,-0.075044,-0.000006,0.000927,-0.000152,-0.000460,0.999999
0.000000,0.430000,-0.060000,0.010013,-0.075083,-0.000015,0.000916,-0.000177,-0.000631,0.999999
0.000000,0.430000,-0.060000,0.010013,-0.075083,-0.000015,0.000916,-0.000177,-0.000631,0.999999
