force_x,force_y,force_z,trans_x,trans_y,trans_z,trans_r_x,trans_r_y,trans_r_z,trans_r_w
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010053,-0.075173,0.000055,0.002112,-0.000212,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010053,-0.075173,0.000055,0.002112,-0.000212,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010053,-0.075173,0.000055,0.002112,-0.000212,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075169,0.000055,0.002112,-0.000211,-0.000509,0.999998
0.000000,0.420000,-0.060000,0.010053,-0.075173,0.000055,0.002112,-0.000212,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010053,-0.075173,0.000055,0.002112,-0.000212,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010050,-0.075170,0.000055,0.002112,-0.000213,-0.000526,0.999998
0.000000,0.420000,-0.060000,0.010050,-0.075170,0.000055,0.002112,-0.000213,-0.000526,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075169,0.000055,0.002112,-0.000211,-0.000509,0.999998
0.000000,0.420000,-0.060000,0.010053,-0.075173,0.000055,0.002112,-0.000212,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010053,-0.075173,0.000055,0.002112,-0.000212,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075169,0.000055,0.002112,-0.000211,-0.000526,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075184,0.000045,0.002129,-0.000210,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010053,-0.075173,0.000055,0.002112,-0.000212,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010053,-0.075173,0.000055,0.002112,-0.000212,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010053,-0.075173,0.000055,0.002112,-0.000212,-0.000535,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010053,-0.075173,0.000055,0.002112,-0.000212,-0.000535,0.999998
0.000000,0.420000,-0.060000,0.010053,-0.075173,0.000055,0.002112,-0.000212,-0.000535,0.999998
0.000000,0.420000,-0.060000,0.010053,-0.075173,0.000055,0.002112,-0.000212,-0.000535,0.999998
0.000000,0.420000,-0.060000,0.010067,-0.075171,0.000060,0.002111,-0.000205,-0.000501,0.999998
0.000000,0.420000,-0.060000,0.010067,-0.075171,0.000060,0.002111,-0.000205,-0.000501,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075167,0.000060,0.002103,-0.000210,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075167,0.000060,0.002103,-0.000210,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010067,-0.075171,0.000060,0.002111,-0.000205,-0.000501,0.999998
0.000000,0.420000,-0.060000,0.010067,-0.075171,0.000060,0.002111,-0.000205,-0.000501,0.999998
0.000000,0.420000,-0.060000,0.010050,-0.075170,0.000055,0.002112,-0.000213,-0.000544,0.999998
0.000000,0.420000,-0.060000,0.010050,-0.075170,0.000055,0.002112,-0.000213,-0.000544,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010053,-0.075173,0.000055,0.002112,-0.000212,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010053,-0.075173,0.000055,0.002112,-0.000212,-0.000535,0.999998
0.000000,0.420000,-0.060000,0.010050,-0.075164,0.000059,0.002103,-0.000213,-0.000526,0.999998
0.000000,0.420000,-0.060000,0.010050,-0.075164,0.000059,0.002103,-0.000213,-0.000526,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,0.000055,0.002112,-0.000210,-0.000500,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075167,0.000060,0.002103,-0.000210,-0.000518,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075167,0.000060,0.002103,-0.000210,-0.000518,0.999998
